title	href	last_work_plase	count
Менеджер проектов	/resume/8618a4500007bf041a0039ed1f6d614b506965?hhtmFrom=resume_search_result	Райден	3.0
Product owner, Project manager	/resume/7ef41a5c0007ddec380039ed1f4c6a595a4534?hhtmFrom=resume_search_result	Domodedovo Integration	2.0
Разработчик VBA	/resume/002965740002e040b90039ed1f6268475a3953?hhtmFrom=resume_search_result	"ООО «ЛЕГИОН"""	1.0
2D Аниматор (перекладка)	/resume/e653c3f10002a0373f0039ed1f367a31475652?hhtmFrom=resume_search_result	Propellers studio	1.0
Технический специалист	/resume/dee536d2000500dfd30039ed1f504846524d37?hhtmFrom=resume_search_result	"ПАО ""МГТС"""	1.0
Трафик-менеджер	/resume/74f7a34e0006ed56540039ed1f326564553850?hhtmFrom=resume_search_result	ZUEV.SPACE - Продажа ЧПУ оборудование для хобби и бизнеса	1.0
Менеджер интернет-проекта	/resume/c8702b7e0003b5ab700039ed1f4f366f58464f?hhtmFrom=resume_search_result	Группа Компаний «Центр ЭКО»	1.0
CIO, CDO, CTO, Директор ИТ проектов	/resume/9f3c63a500028b47760039ed1f685734436c34?hhtmFrom=resume_search_result	IBS	2.0
Системный администратор / IT специалист	/resume/1560fb55000681be640039ed1f543262554835?hhtmFrom=resume_search_result	"Девелоперская группа компаний ""Радоград"""	1.0
Директор Департамента информационных систем 1с	/resume/e41486f200015edc260039ed1f566978666f6c?hhtmFrom=resume_search_result	ООО «Промышленная строительно-монтажная компания». Группа компаний ПАО ГМК «Норильский никель»	1.0
Специалист	/resume/da9f8118000676de4e0039ed1f4a6d7a6c4a42?hhtmFrom=resume_search_result	Abbott Laboratories	1.0
Специалист по цифровизации, менеджер проектов, product manager, менеджер продуктов	/resume/11e68ec90007f68bb20039ed1f436a44596c35?hhtmFrom=resume_search_result	"АО ""Вертолеты России"""	1.0
Руководитель проектов	/resume/8ff6714d000547f4870039ed1f31396f54706b?hhtmFrom=resume_search_result	Laser Solutions	1.0
Chief Technical Officer / Director of Engineering	/resume/36aac8e300078f1b410039ed1f35686e303538?hhtmFrom=resume_search_result	Foresight	1.0
Специалист по интернет-маркетингу	/resume/862860a80007bfde060039ed1f4b6539435439?hhtmFrom=resume_search_result	Биржа Freelance.ru	1.0
Аналитик бизнес-процессов	/resume/fdce14250001c63f3a0039ed1f69554a4b5547?hhtmFrom=resume_search_result	"АО ""Отрадненский ГПЗ"""	3.0
Руководитель отдела ИТ	/resume/57733393000689a82a0039ed1f785252714d46?hhtmFrom=resume_search_result	"ООО ""Аэропорт Девелопмент"""	3.0
Руководитель проектов	/resume/2ec92a100000e578460039ed1f423469323554?hhtmFrom=resume_search_result	"ООО ""ИНВЕСТ ХОККЕЙ"""	2.0
