last_work_place;count
Шереметьево, Международный Аэропорт;2
ЮниТайл, ООО;2
AFFINUM;2
Mazars;2
"ЗАО ""Банк Азии"", Отдел внедрения новых информационных технологий";2
"ПАО ГК ""ТНС энерго""";2
"ООО ""Стормнэт Текнолоджис""";2
Банк Русский Стандарт;2
МегаФон Ритейл;2
Уральский банк реконструкции и развития;2
NO ONE;2
ООО Перспектива Авто;2
Крок инкорпорейтед;2
Национальный Банк Республики Казахстан;2
Sakhalin Energy Investment Company;2
Coca-Cola HBC Russia;2
"ООО ""Здоровиум""";2
City Nature (e-commerce);2
Рокетбанк;2
"АО ""Национальный инфокоммуникационный холдинг ""Зерде""";2
Ralf Ringer;2
Частный инвестор;2
Управляющая компания Property Management Group;2
FBS;2
Гринатом, ЗАО;2
"Детский дом ""Анита-Центр""";2
Geekbrains;2
8bit group;2
ООО АНТ-Цифровые сервисы;2
Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации;2
КОЛЕСА ДАРОМ.РУ, ООО;2
Московский метрополитен, Государственное унитарное предприятие;2
IBS;2
Индивидуальный предприниматель;2
Вертекс;2
Аналитическое кредитно рейтинговое агентство (АКРА);2
"ТОО ""Евразийская Группа""";2
Мария, Мебельная фабрика;2
ОАО Газпром;2
ER-Group;2
МИЭМ НИУ ВШЭ;2
Carlsberg Kazakhstan, ТОО;2
Министерство экономического развития  Российской Федерации;2
ФГБНУ «НИИ- Республиканский исследовательский научно-консультационный центр экспертизы»;2
АНКОР, кадровый холдинг;2
Центральный банк Российской Федерации;2
Beeline, ТМ;2
Сбербанк Лизинг;2
Лига Ставок;2
52;2
"ООО ""Эксперт-Лизинг""";2
АО Банк Развития Казахстана - Лизинг;2
Эра, Торговый дом;2
Coldy Group, Инвестиционно-строительный холдинг;2
АВТОМИР, ГК;2
Rambler&Co;2
Контакт-центр City Call;2
"ТОО ""САТ-Сентрал Азия"" (Turkuaz)";2
Sberbank CIB;2
ИМА-Консалтинг;2
ForexClub;2
Simple Sales;2
Sova-Capital;2
"ТОВ ""Палп Мілл Прінт"", ТОВ ""Палп Мілл ПАК"", Завод з виробництва картонної упаковки „Бліц-Пак”";2
ООО Диспэкс;2
АНО «Хоккейный Клуб «Сокол»;2
Uchi.ru;2
Роснефть;2
"ООО ""БК Фаворит»";2
Аэропорт Пулково;2
ДБ АО Сбербанк;2
Комитет тарифного регулирования Волгоградской области;2
"АО ""Центр электронных финансов""";2
"ТОО ""Hibrain""";2
"АО ""ДжамильКо""";2
Softline;2
Частное лицо;2
585, Холдинг;2
ПАО АТБ;2
БАНК УРАЛСИБ;2
"АО ""Мослифт""";2
British American Tobacco Russia;2
ЙОКОХАМА Р.П.З.;2
Ай-Теко (I-Teco);2
Росгосстрах;2
CUSTIS;2
ДО АО Банк ВТБ (Казахстан);2
Фортум, ОАО;1
"ТОО ""Эврика""";1
Интерфакс;1
Битубит;1
"ООО ""Лайн Трэвел""";1
