last_work_place;count
AIESEC;2
"АТ ""Укрзалізниця""";2
Открытие;2
ПартКом, ООО;2
Белгазпромбанк;2
ОАО Газпром;2
Центр электронных финансов;2
ЮниТайл, ООО;2
GE (General Electric Company);2
ХИМФАРМ, АО (Santo, ТМ);2
Rambler&Co;2
Гринатом, ЗАО;2
Lamoda;2
8bit group;2
БелСаваж, ОДО;2
Госсектор;2
Национальный Банк Республики Казахстан;2
Вертекс;2
Softline;2
Утконос, онлайн-магазин;2
ЦеТК;2
Forte Bank;2
Строительная компания;2
Брокерский дом открытие;2
Объединённая компания РУСАЛ;2
МегаФон Ритейл;2
Группа ГАЗ;2
Astellas Pharma Europe;2
ООО АНТ-Цифровые сервисы;2
ПАО «Сбербанк»;2
British American Tobacco Russia;2
ГК Мегаполис ;2
52;2
"АО ""Эксперт Банк""";2
"ООО ""Сбербанк-Сервис""";2
Центр профилактики правонарушений;2
OSTC-ATON;2
ДБ АО Сбербанк;2
"ООО ""Лабиринт""";2
Министерство транспорта и дорожной инфраструктуры Московской области;2
"Общество с ограниченной ответственностью ТД ""Текстиль Спецодежда""";2
Люксофт;2
"ООО ""Газпром центрремонт""";2
Правительство Московской области;2
Силовые машины, Управляющая компания;2
фирма «Агрокомплекс» им. Н.И. Ткачева;2
Self-employed;2
Renaissance Capital;2
Кимберли-Кларк, ООО;2
The Boston Consulting Group;2
ООО МКК Агора;2
Ralf Ringer;2
"ООО ""Эксперт-Лизинг""";2
"АО ""Aitas KZ""";2
Сбербанк Лизинг;2
"ООО ""Здоровиум""";2
Трейдинг;2
Аэропорт Пулково;2
Центр финансовых технологий;2
Центр обработки информации;2
АО Банк Интеза;2
MMI (Metals & Mining Intelligence);1
"ООО ""СПУТНИК-КОМПЛЕКТАЦИЯ""";1
Автогермес, Группа компаний;1
"ПАО ""МТС""";1
ВЭБ-лизинг, ОАО;1
EPAM Systems Inc;1
ФГБОУ ВО МГАВМиБ - МВА имени К. И. Скрябина;1
"Региональный филиал АО ""Единый накопительный пенсионный фонд""";1
NovaConsult;1
"ОО ""Тульский-4"" филиала АКБ ""ФОРА-БАНК"" (АО) в г. Калуга";1
Медицинский университет;1
"ООО ""Ардес""";1
"ООО ""СИГМА.Новосибирск""";1
Campuz;1
VironIT;1
"МАУК ""ЦТиД г. Гаджиево"" ЗАТО Александровск";1
Автозапчасти;1
Finflow Software Solutions;1
ДАЛИМО;1
Helgilab iT Geo;1
ОАО АЛЬФА БАНК;1
"ООО ""Электроснабжение""";1
Top-Life;1
"ГК ""Стройтэкс"" - многопрофильный холдинг";1
MyWish;1
"AO ""KING""";1
ЙОКОХАМА Р.П.З.;1
ОАО КБ Селена;1
"ООО ""Лаборатория безопасности""";1
Интерсвязь;1
Казанский государственный энергетический университет;1
"РПП ""Фармация""-аптека №223, БУЗ ВО""Борисоглебская РБ""-аптека, ООО""Власта""";1
"ООО ""КрасТранссервис""";1
"ООО ""Сфера финансов"" г. Москва, Бухгалтерские услуги, аудиторская компания, финансовый консалтинг www.spherefinance.ru";1
Стажировки в крупных компаниях (в том числе Coca-Cola HBC, KMPG;1
CLUB100;1
"ФГУП ""УВО Минтранса России""";1
ООО Еврофлекс;1
Государственное автономное учреждение Республики Коми «Республиканский информационный центр оценки качества образования»;1
Сетевая компания, Управление;1
Консультирование и Операции на ММВБ;1
ООО «Агентство информационно-социологических технологий»;1
Khan Group - Umag.kz;1
ИП Крижовецкий А.А;1
Хорошее Дело ПНЗ;1
"Комунальная корпорация ""Киевавтодор""";1
ООО Рум-Сервис;1
StroyStandart;1
Ingram Micro Cloud;1
Citibank Ukraine;1
ГБУ города Москвы «Московский дом национальностей»;1
Производственно-коммерческий холдинг;1
АУ ЮНИИ ИТ;1
ТЭК электроникс, ООО;1
ТОО Капитология;1
Страховое общество Сургутнефтегаз, ООО;1
Мир колбас ООО;1
DPD в России;1
Федеральное авиационное новостное агентство Avia.Pro;1
Инлексис (Лига цифровой экономики);1
ГБУЗ РБ Городская больница;1
"World Trade Centre, ООО ""Центр изучения и оценки юридических и экономических проблем системы промышленной безопасности и охраны труда""";1
Б2Б информ;1
Медико-санитарная часть, НУЗ;1
ФГУП МНИИРИП (подведомственное предприятие Минпромторга РФ);1
ЦП Aiplus;1
ГБУЗ МДГКБ ДЗМ;1
"ОА СК ""Армеец""";1
Домашний, Сеть магазинов;1
"Tcell (ЗАО ""Индиго Таджикистан""). Tcell является одной из крупнейших телекоммуникационных компаний в Таджикистане (более 1000 сотрудников), единственным владельцем которой c 2017г. является Фонд экономического развития Ага Хана (AKFED). Ранее Tcell был частью группы Telia Company (TeliaSonera Швейцария).";1
"РУП ""Главный расчетный информационный центр"" БЖД";1
ГБУ «Лаборатория Путешествий»;1
Mr.sumkin;1
"ООО ""Энергомаш""";1
Умничка;1
Pichesky;1
КарОператор Инжиниринг;1
Agility;1
ГК Монолит;1
ООО Жилкомсервис;1
Well-known logistic company;1
"ООО «Добрый картон""";1
ИТ Индустрия;1
"ТОО «Korkem Service""";1
"ООО ""Организационно-технологические решения 2000""";1
Кофемания;1
"ТОО ""Aitu-dala”,ERG, Проектный офис";1
"ООО ""МайденКо""";1
Аэрофлот;1
Mitsubishi Corporation Bank Rus;1
33 слона;1
Районное отделение народного образования;1
Forecsys;1
Санкт-Петербургская таможня;1
Работаю на заказ;1
"ООО ""Инвест Проект""";1
"ТОО "" Алматинская Торгово - Инвестиционная Компания ""LoToKe""""";1
"ООО ""ФЕСТ""";1
Сочитеплоэнерго, МУП;1
Leverage;1
ИП БелВиллесден;1
Фармастор;1
На банном;1
SC Johnson (Россия);1
Bank of America Merrill Lynch;1
"ООО ""Интеллект-Плюс""";1
ООО САМСОН Групп;1
ООО Юридический центр Профессионал (бывш. ЛОЕР);1
"Федеральное государственное бюджетное учреждение ""Управление по эксплуатации зданий Федерального Собрания Российской Федерации""Управления делами Президента Российской Федерации";1
"Insurance company ""Raiffeissen Life"" Ltd, Russian Federation, Moscow";1
СТС-Белполипластик, УП;1
" ЗАО ""ЕС-лизинг""";1
МедиаОфис;1
Свеза;1
"MSU Project Office \ Competency center NTI ""Big Data Storage and Analysis Center""";1
"ГКУ МО ""ЦЕНТР ЗЕМЕЛЬНО-ИМУЩЕСТВЕННОГО КОМПЛЕКСА МО""";1
Май, ООО;1
Холдинг Samgau;1
Цеппелин Русланд;1
Институт повышения квалификации – РМЦПК;1
"ООО ""Ортикон КС""";1
Geovision Group;1
ТКБ БАНК ПАО;1
"ООО ""Технолоджи Групп"" Блокчейн платформа «Credits”";1
"АО ""TECHNODOM OPERATOR""";1
МРСК БАЗИС;1
Vigor Consult;1
International paper EMEA;1
Управление собственным бизнесом;1
SRG Appraisal;1
Guta group;1
Success Brand Management (SBM): удаленная работа. Сфера деятельности компании: консалтинговая группа по вопросам маркетинга и развития компаний: новые рынки и ниши для бизнеса, рынки торговли, промышленные рынки.;1
"АО ""ГЗ ""Пульсар""""";1
"ООО ""АСТ Поволжье""";1
МКК Генезис Групп;1
"ООО ""ЕЦВ""";1
Санкт-Петербургский информационно-аналитический центр (СПб ИАЦ);1
Pitnica ;1
ООО «АУВИКС»;1
Ninja Trader Brokerage;1
Проектная команда 1с  «БИЗНЕС-ЛОГИКА»;1
ООО Сибирская теплосбытовая компания;1
Fintech company of top Russian bank;1
Halyk Finance;1
Eyetronic;1
WSS-Consulting;1
Remington;1
"ООО ""АЛБИ""";1
НИИ «Восход»;1
Mercury;1
"ООО ""Стормнэт Текнолоджис""";1
"ООО ""Модус Парк""";1
"ООО ""Юридическая компания ""Максимус Консалт""";1
lifecell;1
СКАЙРОС, корпорация;1
ФинМедиа;1
Board of European Students of Technology (BEST);1
ФАРМ;1
Nico group ( Vision Tech, NicoTessuti, Nico Atelier.,);1
Appen;1
"АО ""Алюминий Казахстана"" ERG";1
ООО «Дизайн Соап»;1
"ООО ""ЭСКБ""";1
Whilly, Gett, Yandex;1
"АО ""ГСК ""Югория""";1
Ласнет Техно;1
Межрегиональный ТранзитТелеком, ОАО;1
Tengizchevroil ;1
"НАО ""Центр поддержки гражданских инициатив""";1
Благодійний фонд;1
Vodokanal;1
"ГУП ""НИ и ПИ Генплана Москвы""";1
Capgemini;1
Алгоритмика;1
"ТОО ""Интерстиль Азия""";1
Финансовый менеджер;1
Третье Мнение;1
"ТОО ""МЕГАСТРОЙ ОСКЕМЕН"" ";1
Дельта-План;1
Izburg;1
Визаход;1
"ООО «ук «татбурнефть""";1
TEZ TOUR Куркино (Марс, ООО);1
ГБУ Автозаводский ПНИ;1
АО ГосМКБ Вымпел;1
Joint -Stock Company “Channel one Russia”;1
"Фонд ""Собрание""; Группа МАГНЕЗИТ, ООО";1
"Благотворительный фонд ""Гиперборея""";1
НМКК «Липецкий областной фонд поддержки малого и среднего предпринимательства»;1
Мастор ООО;1
Рестораны МакДональдс;1
WE Partners, an alliance of Korn Ferry;1
"Группа ""Техно Менеджмент"", сфера деятельности - управление недвижимостью, общепит.";1
"ООО ""ГЕНЕЗИС БЛОК""";1
Сичим С.п.А. Казахстан;1
MR.ENGLISH LANGUAGE CENTRE ;1
ООО ТСД БИР ПЕКС;1
"ОАО ""Брестский ЛВЗ ""Белалко""";1
"ООО ""Новый Альянс""";1
Казань-Телематика;1
ИРНИТУ;1
Акционерное общество «Стратеджи Партнерс Групп» (АО «СПГ»);1
Эразма;1
Ilyushin Finance Co;1
ООО ЭНЕРГИЯ;1
Nexters;1
"АО ""ЛГЭК""";1
"АО ""Сигнал"" г. Челябинск.  Входит в состав холдинговой компании промышленности обычных вооружений, боеприпасов и спецхимии - АО «Научно-производственный концерн «Технологии машиностроения» Госкорпорации «Ростех», является исполнителем Госпрограммы вооружения и Гособоронного заказа.";1
BIOCAD, ЗАО БИОКАД;1
Carcade Leasing;1
АО Технодом;1
"АО «Гольфстрим охранные системы""";1
Монополия;1
ИП Колесникова К.В.;1
"ООО ""Сферик Консалтинг""";1
Востоктелеком;1
GROUPE SEB;1
АО Центр Развития города Алматы;1
Фонд развития инновационной деятельности;1
ТЕХСТРОЙКОНТРАКТ-СЕРВИС, ООО;1
РУСГИС;1
ТОО Norsec Delta project;1
"ФГУП ""ЗащитаИнфоТранс""";1
AWEB SYSTEM;1
АО Банк РБК;1
"ГУП ""УПРАВЛЕНИЕ ПАССАЖИРСКИМ ТРАНСПОРТОМ РЕСПУБЛИКИ ТЫВА""";1
"ф/к ""Халлибуртон Интернешнл ГмбХ""";1
McKinsey & Company;1
Независимый фонд «Центр политических технологий»;1
Проект Метрум;1
"ТОО ""Energy Solutions Center""";1
ООО Газпром межрегионгаз СПб;1
TOO Betplanet;1
IT Academy;1
"ООО ""Информаудитсервис. Консалтинг и аутсорсинг""";1
ООО Сделай Своими Руками;1
Bitworks Software Company;1
Мир Упаковки;1
Форвард;1
Либерально демократическая партия России;1
"ООО ""Экспресс Вин""";1
