last_work_place;count
Закупкипроф;1
Tinkoff;1
Институт космических исследований Российской академии наук;1
Indieplay;1
Java;1
"ООО ""Сиблион""";1
Яндекс;1
Education Web Platform;1
Университет GeekBrains от Mail.ru Group;1
ООО КЁНИГ ЛАБС;1
Тинькофф Банк;1
Weißer Code;1
ООО Мастер-домино;1
Spring Boot Project;1
Вооруженные силы РФ;1
Московский государственный технический университет радиотехники, электроники и автоматики;1
Параллельно в свободное от основной работы время разрабатываю на Java 8;1
Сбербанк;1
job4j.ru;1
