last_work_place;title;href;count
Параллельно в свободное от основной работы время разрабатываю на Java 8;Java Developer;https://hh.ru/resume/5eec773d000705e7b80039ed1f4c6563627750?query=java&hhtmFrom=resume_search_result;1
Закупкипроф;Junior Java Developer;https://hh.ru/resume/cb7b665700057751080039ed1f304a33324373?query=java&hhtmFrom=resume_search_result;1
"ООО ""Сиблион""";java developer;https://hh.ru/resume/02bd07b40007fec4cf0039ed1f7a313677425a?query=java&hhtmFrom=resume_search_result;1
ООО Мастер-домино;Архитектор JAVA, Разработчик JAVA,;https://hh.ru/resume/4804f79c00011e1b930039ed1f52636f32724a?query=java&hhtmFrom=resume_search_result;1
Java;Java-developer;https://hh.ru/resume/1c1f6c17000739b42a0039ed1f616468504669?query=java&hhtmFrom=resume_search_result;1
Тинькофф Банк;Java разработчик;https://hh.ru/resume/4605c05e000758b0fd0039ed1f50527339556b?query=java&hhtmFrom=resume_search_result;1
job4j.ru;Java-разработчик;https://hh.ru/resume/4dcc9c5f00079d26fd0039ed1f496177596732?query=java&hhtmFrom=resume_search_result;1
Яндекс;Java-разработчик;https://hh.ru/resume/a018d85c0001fd31960039ed1f30794a717475?query=java&hhtmFrom=resume_search_result;1
Московский государственный технический университет радиотехники, электроники и автоматики;Java developer разработчик программист;https://hh.ru/resume/36d6f30d0006dd27570039ed1f416832744d46?query=java&hhtmFrom=resume_search_result;1
Indieplay;Java Junior (Spring Developer);https://hh.ru/resume/f755d68c0007b0ec140039ed1f545556735744?query=java&hhtmFrom=resume_search_result;1
Spring Boot Project;Java-разработчик;https://hh.ru/resume/4a67982a0006c67cdc0039ed1f36784b475649?query=java&hhtmFrom=resume_search_result;1
Education Web Platform;Java Developer;https://hh.ru/resume/528408880007a54c150039ed1f513667504232?query=java&hhtmFrom=resume_search_result;1
Weißer Code;Java developer;https://hh.ru/resume/c38f49ba00080506500039ed1f317833485964?query=java&hhtmFrom=resume_search_result;1
Университет GeekBrains от Mail.ru Group;Junior Java Developer/Младший Java-разработчик;https://hh.ru/resume/ca433a35000687c4e10039ed1f345634526363?query=java&hhtmFrom=resume_search_result;1
Вооруженные силы РФ;Java разработчик;https://hh.ru/resume/5b97e3a700080226230039ed1f695733663276?query=java&hhtmFrom=resume_search_result;1
ООО КЁНИГ ЛАБС;Программист Java;https://hh.ru/resume/89961a850007100a2a0039ed1f4b6f63444348?query=java&hhtmFrom=resume_search_result;1
Институт космических исследований Российской академии наук;Программист Java;https://hh.ru/resume/e17a3b46000745da670039ed1f7a7143317057?query=java&hhtmFrom=resume_search_result;1
Tinkoff;Java Developer;https://hh.ru/resume/97d14ff300080c17250039ed1f7a52664a626b?query=java&hhtmFrom=resume_search_result;1
Сбербанк;Java-разработчик;https://hh.ru/resume/b3e541630005060bfc0039ed1f696761413232?query=java&hhtmFrom=resume_search_result;1
