last_work_place;count
ФГУП МНИИ «Интеграл»;1
Lynza Agency;1
"ФГБУ ""ЦСП"" Минздрава России";1
ООО Технологические системы и оборудование;1
Информаудитсервис;1
British American Tobacco Switzerland;1
IcomInvest;1
Росгосстрах;1
"ООО ""ЕСП""";1
АО Банк Интеза;1
"FXTM (500 employees; a global foreign exchange, precious metals and CFD broker)";1
IBS;1
British American Tobacco Russia;1
Проектные работы;1
"ООО «КПМГ Чешская республика""";1
ФГБНУ «НИИ- Республиканский исследовательский научно-консультационный центр экспертизы»;1
Ventra Employment;1
ГК Росатом;1
"ООО ""Комин-финанс""";1
Артекс Технолоджи, ООО;1
ГКУ ИНФОГОРОД (ДИТ г. Москвы);1
Toolstrek;1
"АО ""ТКХ""";1
SIBELCO;1
"АО ""Тандер""";1
Частная практика;1
Разработка ПО на заказ;1
Actualog;1
Агентство Стратегических Инициатив - Фонд содействия развития малых форм предприятий в научно-технической сфере;1
"АНО ""Академия регби ""Центр""";1
Много проектов в различных компаниях;1
"ООО «Колди""";1
20 Centure Fox / Disney;1
"ООО ""Управляющая компания ГСК""";1
ДОМ.РФ;1
Тессер;1
Эра, Торговый дом;1
Казань-Телематика;1
"ООО ""ИТЛ Консалтинг""";1
Refinitiv;1
"ООО ""ФортеКом""";1
Ренессанс Страхование, Группа;1
"ГБОУ ДО ДТДиМ «На Стопани""";1
ООО «ИнфоТЭК-КОНСАЛТ»;1
Крок инкорпорейтед;1
JuisyScore;1
"АО ""Марш-страховые брокеры""";1
ведущий программист, программист, аналитик, тестировщик;1
Русбизнесавто;1
SoliDat Германия;1
Акронис-Инфозащита ;1
АО ОТП банк;1
Volvo Group Russia;1
"ООО ""РСХБ-Интех""";1
ЭрЭс Софт;1
ООО АКБ «Барьер» (Saveit Group);1
"ООО МФО ""МолБулак ру""";1
"ПАО ""МТС""";1
Стрим, ООО;1
Хомнет Лизинг;1
Инжиниринговый центр МФТИ;1
ооо ай-эл-эм эдвайзорс;1
Философия ИТ;1
"ПАО ""НК ""Роснефть"", ПАО АНК ""Башнефть"", ООО ""Башнефть-Добыча"" (Аппарат управления)";1
NEXT.exchange;1
Велес Капитал, ИК;1
ВТБ факторинг;1
Exactpro, LLC;1
Dvigex;1
Geovision Group;1
Travelata.ru;1
Манго страхование;1
Мария-Ра;1
Сбербанк - Технологии;1
ЦИиИТ при Федеральной нотариальной палате ;1
Spring Boot Project;1
ЛОКО-БАНК;1
"Insurance company ""Raiffeisen Life"" Ltd";1
ООО Доринг;1
Группа компаний ПИК;1
Франчайзи 1С;1
ГК Экоофис;1
Госкорпорация Роскосмос ;1
"Филиал ОАО НПП ""ГК""";1
"ООО ""НБА+""";1
Francesco donni;1
Tieto;1
НОУ-ХАУ;1
bizv;1
ООО «УК Мкапитал»;1
"ООО ""А 3""";1
Ай-Теко (I-Teco);1
ГК Трио, Onebett;1
Леви Штраусс Москва, ООО;1
Board of European Students of Technology (BEST);1
Yaesu.ru;1
"ООО ""АРТ-Формат""";1
БАРС Груп;1
ООО Диалкон Технолоджи;1
Akforta LLC, development and implementation of accounting systems;1
Dzing Finance Ltd;1
"ООО ГК ""РИМЕРА""";1
ИП Саакян Аргишти Арменович;1
HNST RUSSIAN;1
Ipsos;1
"ООО ""Мерседес-Бенц Капитал Рус""";1
Мир упаковки, ООО;1
"BI-Group, ТМ . TOO ""BI Innovations""";1
FUNNY PRICES;1
Oblako group;1
АйТи партнер;1
Министерство иностранных дел Российской Федерации;1
рт-информ;1
585GOLD;1
Бозон, ООО;1
АО «Аэроприбор-Восход»;1
"Кафе ""жемчужина""";1
КОРУС Консалтинг;1
"ЗАО ""Авикомп Сервисез"" - ООО ""Технопроком""";1
"ГБУЗ СК «МИАЦ""";1
ФГУП ГосНИИ ГА;1
РТУ МИРЭА;1
DataMe (AGGA Empire);1
ООО ОЦРВ;1
ФГБУ «Федеральный центр тестирования»;1
GBC-Team;1
