last_work_place;count
EPAM Systems Inc (Беларусь);39
EPAM Systems Inc. (Россия);33
Сбербанк;32
Яндекс;16
Тинькофф Банк;13
IBA;12
Люксофт;12
Сбербанк - Технологии;11
Luxoft;10
NetCracker Technology Corp. (Россия);10
Epam Systems Ukraine;10
JavaRush;10
T-Systems CIS;9
Epam Kazakhstan;8
EPAM Systems;8
Deutsche Bank;8
freelance;8
Ай-Теко (I-Teco);7
ПриватБанк;7
Вооруженные силы РФ;7
Ростелеком;7
МАГНИТ, Розничная сеть;7
Andersen;7
VironIT;7
ЛАНИТ;6
Сбербанк - Технологии (Россия);6
SoftServe;6
Ciklum;6
Prime Source, ТОО;6
GDC (ICL Services);5
Grid Dynamics;5
Мобильные ТелеСистемы (МТС);5
job4j.ru;5
AT Consulting;5
MERA;5
ЭР-Телеком Холдинг, ЗАО;5
Diasoft;4
NetCracker;4
Antalogic;4
АСБ Беларусбанк, ОАО;4
job4j;4
iTechArt Group;4
Альфа-Банк (Россия);4
Обучение;4
Skillbox;4
Центр Финансовых Технологий, Группа компаний;4
GeekBrains;4
Itransition;4
Kaspi Bank, АО;4
СИБИНТЕК, ООО ИК;4
Протей, НТЦ;4
Фрилансер;4
Bell Integrator;4
Accenture;4
Raiffeisenbank;3
"РУП ""Белгослес""";3
JetBrains;3
EngagePoint;3
Radius;3
Техносерв Консалтинг;3
БГУИР;3
Крок инкорпорейтед;3
Intexsoft;3
E-motion;3
ITRex Group;3
МГТС;3
EPAM;3
Performance Lab;3
NDA;3
Geek Brains;3
BTS Digital;3
Siemens;3
Freelancer;3
Java Online Projects;3
NetCracker Technology Corp. (Украина);3
Альфа-Банк (Украина);3
ОТР;3
Exadel;3
Godel Technologies Europe;3
IBS;3
Digital Design;3
GlobalLogic Ukraine;3
Нет;3
Пенсионный фонд Российской Федерации;3
Лига цифровой экономики;3
IT-Academy;3
Индивидуальное предпринимательство;3
EPAM Systems Inc (Беларуссия);3
iFuture;3
МегаФон;3
Job4j;3
ТрансТехСервис, УК;3
Банк России;3
Почта России;3
CT Consulting;3
Self-employed;3
Интернет;3
Райффайзен Банк Аваль;3
Mail.Ru Group;2
Axamit;2
Альфа-Банк (Казахстан);2
EXBO;2
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЕННО-ПРОМЫШЛЕННАЯ КОРПОРАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ МАШИНОСТРОЕНИЯ""";2
Beeset;2
Параллельно в свободное от основной работы время разрабатываю на Java 8;2
Galantis;2
Spring Boot Project;2
Аплана Софтвер;2
Foxminded;2
Дататех  Инженерно-производственный центр компании «АйТи»;2
Exigen Services;2
Bercut;2
Инфопульс Украина;2
RENAULT;2
Санкт-Петербургский государственный политехнический университет;2
Natlex;2
Евразийский банк, АО;2
Санкт-Петербургский государственный университет аэрокосмического приборостроения;2
Amdocs;2
"Национальный технический университет Украины ""Киевский политехнический институт""";2
нет опыта;2
ПАО Ленэнерго;2
R-Style SoftLab;2
NVision Group;2
СДЭК;2
***;2
CYBER VISION, INC.;2
IT компания;2
IonIdea;2
Собственный проект;2
BI-Group, ТМ;2
ЧП;2
EGAR TECHNOLOGY, INC.;2
Kaseya BLR;2
Zensoft;2
Макдоналдс;2
"ООО ""Практичные решения""";2
Weißer Code;2
ООО «Аплана»;2
ПЕТЕР-СЕРВИС;2
Управление информационными проектами, ООО;2
Helmes;2
Банк ВТБ (ПАО);2
Elilink;2
МТС-Украина;2
Godel Technologies;2
Smile.fr in Ukraine;2
Самозанятый;2
LUXOFT;2
Портал-Юг, ООО;2
FreeLance;2
Хоум Кредит энд Финанс Банк;2
Банк;2
Home;2
Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;2
Комита, ЗАО (Санкт-Петербург);2
Сбербанк России;2
Vironit;2
Национальные информационные технологии, АО;2
Системные технологии;2
Kazpost;2
БАРС Груп;2
Отраслевой центр разработок и внедрения информационных систем / ОЦРВ;2
Банк ЦентрКредит, АО;2
Альтарикс, ООО;2
РОСБАНК;2
Белтелеком;2
"""FastDevelop""";2
ВИМ ТЕК;2
Samsung Electronics;2
НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета);2
Epam Systems;2
Nissan Manufacturing Rus;2
Связной;2
Geekbrains.ru;2
FIX, LLC.;2
Такском, ООО;2
Blackbird Ventures;2
Devexperts (Российский бренд Эксперт-Система);2
Сургутнефтегаз;2
Аркадия, ЗАО;2
ИТМО;2
Медлайнсофт, ООО;2
TouchSoft;2
IFuture;2
Motorola;2
Education Web Platform;2
freelancer;2
Самообразование;2
Teleca;2
СКБ-Банк, ОАО;2
Московский государственный технический университет радиотехники, электроники и автоматики;2
Upwork;2
"ООО ""Камет-Софт""";2
Colvir Software Solutions;2
Specific-Group;2
Аплана. Центр Разработки;2
IUNetworks LLC;2
Softheme;2
DANA Engineering;2
АК БАРС Девелопмент;2
Казпочта;2
Первый БИТ;2
Когнитивные технологии;2
Java;2
МАЗ;2
Лига Цифровой Экономики;2
TaskData;2
CLC;2
PROFI.RU;2
Mate Academy;2
Международный аэропорт Донецк имени С.С.Прокофьева;2
Конкорд банк;2
Джи Си Консалтинг ООО;2
Федеральная Сетевая Компания;2
Московский авиационный институт (национальный исследовательский университет);2
ITSpace LLC;2
СКБ Контур;2
UCO;2
Самообучение;2
Вайлдберриз, ООО;2
Javarush;2
Crossover;2
ИП Ефремов А. А.;1
Частный мастер;1
Finnplay - Финская компания;1
Renewal Studio;1
PROVECTUS IT;1
Visiprise;1
Mobicon Media;1
"НПЧУП ""Адани""";1
TPK;1
АО ЭННОВА;1
"ООО ""Чайка Телеком Петербург""";1
Московский областной центр информационно-коммуникационных технологий;1
SCDM;1
Sifox;1
Приволжское ЛУ МВД РФ на транспорте;1
WebMoney;1
Bia Technologies;1
IT College Digital Unicorn;1
"ООО ""ПТФ ""Псковская""";1
Компания «Diasoft»;1
"Государственное учреждение здравоохранения Саратовской области ""Городская поликлиника № 1 г. Балаково""";1
JavaOPS;1
International Information Technology University;1
"ООО ""Порт  Кимры""";1
Компания разработки программного обеспечения «Сторн»;1
ООО Домодедово Интегрейшн;1
Gear Games;1
LUXOFT USA;1
ArtSen Media;1
Ltd. Veritex;1
Газпром информ, ООО;1
ао Вкабанк;1
ПАО ЗАЗ;1
разрабатывал программы для себя;1
Java development companies and IT Consulting;1
"АО ""Атомэнерго""";1
JavaMIDLET;1
"Kindergärten ""Adelson""";1
Android Development;1
Krusche Company;1
ИТ Проспект;1
Shell;1
MRGMotors;1
Brest State Technical University;1
Федеральное космическое агентство;1
