last_work_place;title;href;count
Сбербанк;Экономист, Аналитик, Финансист;https://hh.ru/resume/85c8e3b300020b72640039ed1f767838474e7a?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Стажер data scientist ;https://hh.ru/resume/f1cdd1f70007936e2f0039ed1f377253786c63?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Аналитик;https://hh.ru/resume/fa5090fc00077f41d00039ed1f72644e737a37?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Младший кредитный аналитик;https://hh.ru/resume/7eec3b130007fc0fde0039ed1f7873514a3858?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Аналитик;https://hh.ru/resume/8986bd6100073a02e60039ed1f344e314d7358?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Аналитик;https://hh.ru/resume/5de57a510007cfffc40039ed1f444b58326d32?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Программист-аналитик;https://hh.ru/resume/126038cd00057c0b450039ed1f437771355052?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Экономист;https://hh.ru/resume/58a7e46600032985350039ed1f687835765243?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Кредитный аналитик;https://hh.ru/resume/8a27bcdd000725d5a30039ed1f78764d756d6c?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
Сбербанк;Экономист, финансист, аналитик, бухгалтер;https://hh.ru/resume/cf370537000581e8310039ed1f6f34704b4d70?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;118
