title	href	count
Devops-инженер	https://hh.ru/resume/ab8da0aa00074e0aa50039ed1f31784776474f?hhtmFrom=resume_search_result	1
Cистемный администратор	https://hh.ru/resume/bfd3f1120003d6a8ee0039ed1f426f7339634f?hhtmFrom=resume_search_result	1
Программист 1С	https://hh.ru/resume/5bfc9282000165ddc10039ed1f505746547449?hhtmFrom=resume_search_result	1
Frontend разработчик	https://hh.ru/resume/258a338f0005568cf70039ed1f61635a643477?hhtmFrom=resume_search_result	1
Системный архитектор 1С (ERP2, УХ, УТ, MES, ЗУП, СЭД) на проект.	https://hh.ru/resume/656a64370002d644390039ed1f775a736a724a?hhtmFrom=resume_search_result	1
Frontend-разработчик (JavaScript, VueJS)	https://hh.ru/resume/286519e8000753a33b0039ed1f4b50474c4552?hhtmFrom=resume_search_result	1
Руководитель ИТ-проектов/ Менеджер ИТ-проектов	https://hh.ru/resume/a1d8c6a8000555b8320039ed1f385935756341?hhtmFrom=resume_search_result	1
Менеджер по продажам	https://hh.ru/resume/45fbf4e300026c8a7a0039ed1f4f5a45716779?hhtmFrom=resume_search_result	1
Инженер службы технической поддержки	https://hh.ru/resume/2bc2cb190006002de20039ed1f426264693755?hhtmFrom=resume_search_result	1
Директор по информационным технологиям (CIO, CTO), Директор по цифровизации (CDO)	https://hh.ru/resume/1cf2411d0007f4c09c0039ed1f5a3056794f66?hhtmFrom=resume_search_result	1
Project manager	https://hh.ru/resume/abbcfc4e0005a0efe20039ed1f767759445a6d?hhtmFrom=resume_search_result	1
Business Development Manager	https://hh.ru/resume/b352b0d30006bfabe50039ed1f51464d387857?hhtmFrom=resume_search_result	1
Business Development / Account Executive	https://hh.ru/resume/fdbe79bb000423b43d0039ed1f4c466b6e7639?hhtmFrom=resume_search_result	1
Инженер по строительству ВОЛС	https://hh.ru/resume/31b5919b000424489c0039ed1f644272787a30?hhtmFrom=resume_search_result	1
Руководитель продаж, развитие бизнеса.	https://hh.ru/resume/94509e4c0007b029f30039ed1f4a6949667968?hhtmFrom=resume_search_result	1
Пресейл / продакт менеджер	https://hh.ru/resume/d807824c0002117cbd0039ed1f335368744d59?hhtmFrom=resume_search_result	1
Java Developer	https://hh.ru/resume/5eec773d000705e7b80039ed1f4c6563627750?hhtmFrom=resume_search_result	1
Начальник/Главный специалист ИБ(ИТ)	https://hh.ru/resume/c3a641580002d3a0180039ed1f73614e46446d?hhtmFrom=resume_search_result	1
Инженер связи	https://hh.ru/resume/880fe0520004226e910039ed1f567831587655?hhtmFrom=resume_search_result	1
Аналитик	https://hh.ru/resume/bc6de6f40007fe20380039ed1f39394e674f7a?hhtmFrom=resume_search_result	1
