last_work_place;count
"ООО ""Андерменеджмент""";1
АО Газпромбанк Управление активами ;1
"ООО ""АВИКС""";1
РОНИН, ООО;1
ВТБ ;1
Agency for Strategic Initiatives;1
ПРИО-Внешторгбанк, ОАО;1
"ГУП ""НИ и ПИ Генплана Москвы""";1
ЗАО «Банк Русский Стандарт» Филиал в г. Омске,;1
НОВАТЭК, ОАО;1
JSC Metallurgical Investment Bank;1
МАГНИТ, Розничная сеть;1
NovaConsult;1
ФГБУ Агроэкспорт;1
"ООО ""Мещера"" Розничная торговля.";1
«Газпромбанк» (Акционерное общество);1
ООО Махсус металл Саноат;1
Арсагера, УК;1
АО Кредит Европа Банк;1
ЗАО Сбербанк-Технологии;1
UralSib Asset Management;1
Самозанятость;1
ЗЕНИТ, банк;1
"ООО ""Здоровиум""";1
MERLION;1
Банк СОЮЗ (АО);1
Российские железные дороги, ОАО;1
Natixis Moscow;1
ПАО АТБ;1
Geekbrains.ru (Mail.ru);1
Федеральная сетевая компания ЕЭС (ОАО ФСК ЕЭС);1
Lear Corporation;1
Lucht Probst Associates (LPA);1
"ООО ""Трейдинг-БТ""";1
Perform Group (Runningball AG);1
ИРМАСТ-ХОЛДИНГ;1
"АО ""ВЭБ-лизинг""";1
"ФРИИ, ООО ""Сарттрек"", АК ""Косметикс"", ИФК ""Солид"" и др.";1
Альпари;1
Американская биржа (NASDAQ, NYSE, CME), Российская биржа (фондовый, срочный валютный рынок);1
МКК Генезис Групп;1
Zamwell (Family office);1
"ООО ""ЭЛЕМЕНТАЛ ИНВЕСТМЕНТС""";1
"УК ""Транснефть -Инвест""";1
Accenture;1
Cindicator;1
NVM Capital;1
Фольксваген Груп Финанц, ООО;1
OSTC-Aton;1
ГК Ростех (структурное подразделение);1
"ооо ""купол -дома""";1
Russian Direct Investment Fund;1
Yummy cafe;1
"ООО ""Фарзум""";1
Управление собственным бизнесом;1
ООО «Де Лаге Ланден Лизинг» (группа Rabobank, Нидерланды);1
Норильский никель, ГМК;1
Связь-Банк, АКБ;1
Elysium Financial Services PTE. LTD (Singapore);1
Индивидуальное предпринимательство / частная практика / самозанятый;1
"ООО ""Сферик Консалтинг""";1
Уральский банк реконструкции и развития;1
"ОАО""УРАЛСИБ""(Банк)";1
"МФО ""Рево Технологии"" (ООО)";1
АК БАРС БАНК, ОАО;1
"ООО  ""ИФК Финпрогресс""";1
КБ Универсал;1
Белагропромбанк, ОАО;1
"АО ""ЮТэйр-инжиниринг""";1
Финансовый рынок FOREX;1
Банк Леуми;1
The Boston Consulting Group;1
"АО ""Энерготрансбанк"" КБ";1
Моор Стивенс;1
"ООО ""Инвест консалтинг""";1
DataDuck;1
"РСХБ ""Россельхозбанк"" ";1
ГК Триол;1
"Работаю в ПАО СБЕРБАНК 4-й год, Действующий Клиентский Менеджер по обслуживанию, клиента сегмента ""Премьер"", продукта банковские карты, кредиты, страховые продукты, продукты удаленного обслуживания.  Продажи. Реализация спектра продуктов в рамках моделях.  ";1
"ООО ""УСТ-офисная недвижимость""";1
Инвестиционная компания “ITinvest”;1
"Межрегиональная общественная организация ""Ассоциация Заслуженных врачей РФ""";1
Unicredit AG ( Hypovereinsbank Deutschland);1
Ассистент медийного лица;1
Kauri finance;1
АО Ковдорский ГОК;1
ООО Турагентство;1
Объединенная Авиастроительная Корпорация;1
Федерация;1
Банк Северный Морской Путь;1
Sberbank CIB Equity research;1
"АО ""Архангельский ЦБК""";1
Московский метрополитен, Государственное унитарное предприятие;1
Сбербанк Лизинг;1
Слетать.ру;1
Freelancer / private investor;1
Федеральная налоговая служба (ФНС России);1
Московский аэропорт Домодедово;1
Mitsubishi Corporation Bank Rus;1
Министерство здравоохранения Московской области;1
Газпромбанк, АО;1
"АО ТВК ""Авиапарк""";1
Пив&ко;1
Citibank;1
Вооруженные силы РФ;1
МСП Банк;1
PepsiCo Kazakhstan, ТМ;1
ООО «Стратегия»;1
ГК АСВ;1
ООО Вектор;1
Хипрока - Нутришн;1
ООО Аспен Хэлс;1
Standart Capital Group;1
"ООО АКГ ""Новгородаудит""";1
Finflow Software Solutions;1
"АО Банк ""Дом.рф""(бывш. АО АИЖК)";1
Госкорпорация Росатом;1
АО ЮНИКРЕДИТ БАНК;1
Volkswagen Group Finanz;1
"ООО ""Технолоджи Групп"" Блокчейн платформа «Credits”";1
"ООО ""Аналитика Онлайн""";1
ООО МКК Кредиттер;1
Нет;1
EMIREX CryptoExchange;1
МКБ;1
Пенсионный фонд Российской Федерации;1
Присадки-плюс;1
АФГ Националь;1
Трейдинг За Свои Деньги;1
Возрождение, Банк, ПАО;1
Аналитическое управление Аппарата Совета Федерации ФС РФ;1
"ОАО ""УК ""Кузбассразрезуголь""";1
Delimobil;1
Ночной клуб во Вьетнаме;1
"ООО ""ГЛАВБУХ""";1
Русский Стиль-97, ООО;1
ООО «СервисПлюс»;1
"ООО ""СЭФ""";1
Государственная дума РФ;1
Управление Федеральной службы государственной регистрации, кадастра и картографии по Оренбургской области;1
Ростех - Развитие Бизнеса;1
"ООО ""Сбербанк-Сервис""";1
Cashwagon, fintech company;1
ВТБ 24;1
Департамент инвестиционной и промышленной политики г. Москвы;1
Автогермес, Группа компаний;1
Банк Кредит Свисс (Москва);1
Банк  с иностранным участием;1
Консультационная работа;1
Сеть Семейных и Экономных аптек;1
QUMMIF;1
"ООО ""Инвест Дом""";1
ООО «Три-А»;1
ООО отделка мастер;1
"ООО ""Грант Торнтон Консалтинг""";1
Министерство экономического развития и инвестиций Пермского края;1
